AGENCY,DATE,DESTINATION,PAX,TYPE,COST,STATUS
MILAN,07/30/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
MILAN,07/30/2023,EN - PPC,11,PRIVATE,5000,
MILAN,07/30/2023,EN - PPC,2,SHARED,1000,
MILAN,07/30/2023,PPC - EN,6,PRIVATE,5000,
MILAN,07/30/2023,PPC - EN,2,SHARED,1000,
MILAN,07/30/2023,PPC - EN,3,SHARED,1500,
MILAN,07/30/2023,EN - PPC,6,SHARED,3000,
MILAN,07/30/2023,EN - PPC,7,SHARED,3500,
WE GO,07/30/2023,EN - PPC,3,SHARED,1500,
MILAN,07/30/2023,PPC - EN,2,SHARED,1000,
MILAN,07/30/2023,EN - PPC,6,SHARED,3000,
MILAN,07/31/2023,EN - PPC,3,SHARED,1500,
MILAN,07/31/2023,PPC - EN,2,SHARED,1000,
MILAN,07/31/2023,PPC - EN,2,SHARED,1000,
MILAN,07/31/2023,EN - PPC,5,SHARED,2500,
MILAN,07/31/2023,EN - PPC,4,SHARED,2000,
MILAN,07/31/2023,EN - PPC,2,SHARED,1000,
MILAN,07/31/2023,EN - PPC,6,PRIVATE,5000,
MILAN,07/31/2023,EN - PPC,3,SHARED,1500,
MILAN,08/13/2023,PPC - EN,4,SHARED,2000,
MILAN,08/13/2023,EN - PPC,2,SHARED,1000,
MILAN,08/13/2023,EN - PPC,2,SHARED,1000,
MILAN,08/13/2023,EN - PPC,2,SHARED,1000,
MILAN,08/13/2023,PPC - EN,4,SHARED,2000,
MILAN,08/13/2023,PPC - EN,2,SHARED,1000,
MILAN,08/13/2023,PPC - EN,2,SHARED,1000,
MILAN,08/14/2023,PPC - EN,2,SHARED,1000,
MILAN,08/14/2023,PPC - EN,4,SHARED,2000,
MILAN,08/14/2023,PPC - EN,3,SHARED,1500,
MILAN,08/14/2023,EN - PPC,4,SHARED,2000,
MILAN,08/14/2023,PPC - EN,2,SHARED,1000,
MILAN,08/14/2023,PPC - EN,2,SHARED,1000,
MILAN,08/15/2023,PPC - EN,1,SHARED,500,
MILAN,08/15/2023,EN - PPC,4,SHARED,2000,
MILAN,08/15/2023,EN - PPC,2,SHARED,1000,
MILAN,08/15/2023,PPC - EN,2,SHARED,1000,
MILAN,08/16/2023,EN - PPC,4,SHARED,2000,
MILAN,08/16/2023,EN - PPC,2,SHARED,1000,
MILAN,08/16/2023,EN - PPC,3,SHARED,1500,
MILAN,08/16/2023,EN - PPC,2,SHARED,1000,
MILAN,08/16/2023,PPC - EN,2,SHARED,1000,
MILAN,08/16/2023,PPC - EN,10,PRIVATE,5000,
MILAN,08/16/2023,PPC - EN,2,SHARED,1000,
MILAN,08/17/2023,EN - PPC,2,SHARED,1000,
MILAN,08/17/2023,EN - PPC,1,SHARED,500,
MILAN,08/17/2023,PPC - EN,5,SHARED,2500,
MILAN,08/17/2023,EN - PPC,3,SHARED,1500,
MILAN,08/17/2023,PPC - EN,7,SHARED,3000,
MILAN,08/17/2023,PPC - EN,4,SHARED,2000,
MILAN,08/17/2023,PPC - EN,2,SHARED,1000,
MILAN,08/18/2023,PPC - EN,13,PRIVATE,6000,
MILAN,08/19/2023,PPC - EN,2,SHARED,1000,
MILAN,08/19/2023,PPC - EN,2,SHARED,1000,
MILAN,08/19/2023,PPC - EN,6,SHARED,3000,
MILAN,08/19/2023,EN - PPC,2,SHARED,1000,
MILAN,08/19/2023,EN - PPC,6,SHARED,3000,
MILAN,08/19/2023,PPC - EN,7,SHARED,3500,
MILAN,08/19/2023,PPC - EN,4,SHARED,2000,
MILAN,08/19/2023,PPC - EN,2,SHARED,1000,
MILAN,08/20/2023,PPC - EN,4,SHARED,2000,
MILAN,08/20/2023,EN - PPC,2,SHARED,1000,
MILAN,08/20/2023,EN - PPC,4,SHARED,2000,
MILAN,08/20/2023,PPC - EN,2,SHARED,1000,
MILAN,08/20/2023,PPC - EN,2,SHARED,1000,
MILAN,08/20/2023,PPC - EN,2,SHARED,1000,
MILAN,08/21/2023,PPC - EN,6,SHARED,3000,
MILAN,08/21/2023,EN - PPC,13,PRIVATE,6000,
MILAN,08/21/2023,EN - PPC,2,SHARED,1000,
MILAN,08/21/2023,EN - PPC,2,SHARED,1000,
MILAN,08/21/2023,EN - PPC,6,SHARED,3000,
MILAN,08/22/2023,PPC - EN,2,SHARED,1000,
MILAN,08/22/2023,PPC - EN,3,SHARED,1500,
MILAN,08/22/2023,PPC - EN,6,SHARED,3000,
MILAN,08/22/2023,EN - PPC,7,SHARED,3000,
MILAN,08/23/2023,EN - PPC,7,SHARED,3500,
MILAN,08/23/2023,EN - PPC,4,SHARED,2000,
MILAN,08/23/2023,EN - PPC,4,SHARED,2000,
MILAN,08/23/2023,EN - PPC,2,SHARED,1000,
MILAN,08/23/2023,PICK UP AIRPORT,2,PRIVATE,1000,
MILAN,08/24/2023,PPC - EN,2,SHARED,1000,
MILAN,08/24/2023,PPC - EN,4,SHARED,2000,
MILAN,08/25/2023,EN - PPC,2,SHARED,1000,
MILAN,08/25/2023,EN - PPC,2,SHARED,1000,
MILAN,08/25/2023,EN - PPC,2,SHARED,1000,
MILAN,08/25/2023,EN - PPC,6,SHARED,3000,
MILAN,08/26/2023,PPC - EN,3,SHARED,1500,
MILAN,08/26/2023,PPC - EN,6,SHARED,3000,
MILAN,08/26/2023,EN - PPC,3,SHARED,1500,
