DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
02/01/2023,CORAZON,4.03030303,490,1545.454802,FHERL
02/01/2023,DROP ITI,4.072727273,PRIVATE,1544.830849,DOUBLEGEM
02/01/2023,PPC-EN,4.115151515,6671.428571,1544.206896,MILAN
02/01/2023,EN-JOINER,07-Jan,7275,1543.582943,JOSEPH
02/01/2023,EN-JOINER,4.836956522,7878.571429,1542.95899,JOSEPH
02/01/2023,PPC-PRIVATE,4.813913043,8482.142857,1542.335037,JOSEPH
02/01/2023,PPC-PRIVATE,4.790869565,9085.714286,1541.711084,DA ROCK
02/01/2023,PPC-PRIVATE,4.767826087,9689.285714,1541.087131,ARMAN
02/01/2023,EN-PRIVATE,4.744782609,10292.85714,1540.463178,ARMAN
02/01/2023,DROP ITI,4.72173913,PRIVATE,1539.839225,MILAN
02/01/2023,EN-PPC,4.698695652,PRIVATE,1539.215272, ST.JOHN
02/01/2023,PPC-EN (PREV.),4.675652174,1025,1538.591319,ONE EL NIDO SUITE
02/01/2023,PPC-EN,4.652608696,1180,1537.967366,ONE EL NIDO SUITE
02/01/2023,PPS-EN,4.629565217,1335,1537.343413,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,LIO-ISLAND HOP INN,4.606521739,1490,1536.71946,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PPC-UR-EN,4.583478261,PRIVATE,1536.095507,CORAZON TRAVEL AND TOURS
02/01/2023,PPC-EN,4.560434783,PRIVATE,1535.471554,ROCK VIEW
02/01/2023,EN-PPC,4.537391304,500,1534.847601,TROPICAL TRAVEL AND TOURS 
02/01/2023,PPC-EN,4.514347826,PRIVATE,1534.223648,BAYVIEW
02/01/2023,MCDO,4.491304348,3464.285714,1533.599695,FHERL TO ANSLEY
02/01/2023,FRENDZ,4.46826087,4007.142857,1532.975742,FHERL
02/01/2023,EN-PPC,4.445217391,4550,1532.351789,FRENDZ
02/01/2023,DROP ITI,4.422173913,5092.857143,1531.727836,VELLAGO
02/01/2023,FRENDZ,4.399130435,5635.714286,1531.103884,FHERL 
02/01/2023,PPC-EN,4.376086957,6178.571429,1530.479931,MILAN
02/01/2023,EN-JOINER,4.353043478,6721.428571,1529.855978,JOSEPH
02/01/2023,PPC-PRIVATE,4.33,PRIVATE,1529.232025,ELNIDO BAYVIEW RESORT
02/01/2023,PPC-EN,4.306956522,35.71428571,1528.608072,MILAN
02/01/2023,PPC-JOINER,12+3,-342.8571429,1527.984119,ARMAN
02/01/2023,EN-PPC,6.571428571,-721.4285714,1527.360166,DA ROCK
02/01/2023,PPC-EN,7.357142857,-1100,1526.736213,FHERL TO MARVIN
02/01/2023,,8.142857143,-1478.571429,1526.11226,ONE EL NIDO SUITE
02/01/2023,TOUR A,8.928571429,-1857.142857,1525.488307,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,TOUR A,9.714285714,-2235.714286,1524.864354,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PICK ITI,10.5,PRIVATE,1524.240401,CORAZON TRAVEL AND TOURS
02/01/2023,PPC-EN,11.28571429,PRIVATE,1523.616448,TARAWIS
02/01/2023,MILAN,6+2,450,1522.992495,FHERL
02/01/2023,PPC-EN,18+3,PRIVATE,1522.368542,ROCK VIEW
02/01/2023,PICK ITI,3.650510204,PRIVATE,1521.744589,BAYVIEW
02/01/2023,PPC-EN,3.661836735,1322.727273,1521.120636,FRENDZ
02/01/2023,ATE PRECY,3.673163265,1351.223776,1520.496683,FHERL
02/01/2023,DROP ITI,3.684489796,1379.72028,1519.87273,VELLAGO
02/01/2023,ONE EL NIDO,3.695816327,1408.216783,1519.248777,FHERL 
02/01/2023,PPC-EN,3.707142857,1436.713287,1518.624824,TROPICAL TRAVEL AND TOURS 
02/01/2023,PPC-EN,3.718469388,1465.20979,1518.000871,ONE EL NIDO SUITE
02/01/2023,UR,3.729795918,1493.706294,1517.376918,VELLAGO
02/01/2023,PPC-EN,3.741122449,1522.202797,1516.752965,MILAN
02/01/2023,EN-PPC,3.75244898,1550.699301,1516.129012,MILAN
